,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TSHZ1,1.60582373874032e-60,0.27569460037839,0.321,0.125,2.99630651411556e-56
PDCD6,9.22329816500715e-60,-0.26832647891325,0.858,0.91,1.72097520460868e-55
NDUFA4L2,1.16700247584147e-59,0.417596443650256,0.75,0.516,2.17750991967259e-55
FAM3B,1.18822080183039e-59,0.273704624177269,0.715,0.52,2.21710119413533e-55
DPYSL3,2.15711435977013e-59,-0.308847697534197,0.526,0.694,4.02495968389508e-55
ANO10,6.86656817485628e-59,0.261954481948945,0.396,0.179,1.28123295574643e-54
CFDP1,1.79100444286516e-58,-0.259120499852852,0.244,0.467,3.34183518994211e-54
CHID1,1.87164049147937e-58,0.283670735089588,0.582,0.377,3.49229399305136e-54
POLR2H,9.4798780224396e-58,0.271245633148644,0.596,0.383,1.768850440207e-53
SLITRK6,1.07455342708692e-57,0.320307432472015,0.454,0.241,2.00500923960148e-53
MLF1,2.17101892985655e-57,0.267291366412619,0.331,0.13,4.05090422121933e-53
UQCRC1,2.73268028756616e-57,0.27456834773722,0.531,0.327,5.09890814856969e-53
DGCR6L,4.11364894186566e-57,-0.27378045599102,0.464,0.635,7.67565756062713e-53
NDUFA6,4.33363325583708e-57,-0.268108875951713,0.291,0.494,8.08612629206642e-53
NME2,4.5332214885826e-57,-0.255881504687312,0.533,0.687,8.45853797554628e-53
CNPY3,7.33491272796471e-57,0.278044541752647,0.613,0.409,1.36862136591094e-52
CAPN2,8.52364042002243e-57,0.278958982394018,0.426,0.229,1.59042606597199e-52
TMSB15A,1.55247836969264e-56,-0.307173780182429,0.248,0.474,2.89676939000949e-52
NUCB2,1.95005639025435e-56,0.317256540982524,0.815,0.669,3.63861021857559e-52
FMC1,3.02987189759754e-56,-0.279105888674725,0.325,0.543,5.65343797372726e-52
ODC1,5.47022462802247e-56,-0.258381144703811,0.236,0.456,1.02068921334271e-51
CNKSR3,3.57586042668781e-55,0.305094056067297,0.432,0.219,6.67219797015678e-51
SCGN,3.23977189209108e-54,0.263078657445056,0.286,0.096,6.04509037345274e-50
NRN1,5.61813847090621e-54,0.287302481440803,0.845,0.648,1.04828845728639e-49
CAMK2B,3.54400958924453e-53,0.383965472516382,0.796,0.655,6.61276749257138e-49
AP2M1,5.55616631654207e-53,0.260957274840568,0.572,0.377,1.03672507300359e-48
CBLN2,1.55665791723895e-52,0.273371588836164,0.792,0.63,2.90456800777616e-48
ATP6V0E2,2.67908578246503e-52,-0.251661942614274,0.263,0.462,4.9989061615015e-48
YWHAG,3.32446796520812e-52,-0.257956403307938,0.243,0.452,6.20312477628183e-48
IGSF8,6.68551780744961e-51,0.265298789706041,0.427,0.233,1.24745076769202e-46
JUN,1.11053774605492e-50,-0.425119535351268,0.7,0.758,2.07215238036388e-46
NCSTN,2.35401390542455e-50,0.253901076942745,0.445,0.246,4.39235454613167e-46
LSM5,3.57497743905324e-50,-0.28175573798897,0.557,0.717,6.67055040352944e-46
DDOST,7.10679481603115e-50,0.254277580497917,0.794,0.644,1.32605684472325e-45
FAM162A,1.38207223945762e-49,0.325913044015364,0.547,0.33,2.57880859160397e-45
SYT1,8.7547847914126e-49,0.268656896877576,0.708,0.513,1.63355529422968e-44
GADD45G,9.5194347266571e-49,-0.30562403788541,0.135,0.313,1.77623132564695e-44
RPL22L1,1.35657575318778e-48,0.269894437605547,0.689,0.489,2.53123469787308e-44
SON,1.62491980431441e-47,-0.257398190297133,0.541,0.719,3.03193786287026e-43
C4orf48,8.46310009057406e-47,-0.258807336621651,0.874,0.942,1.57912984590021e-42
PRKDC,1.70871005949071e-46,-0.258782922527381,0.265,0.465,3.18828210000371e-42
H1FX,1.78647589179768e-46,0.299240998149136,0.564,0.382,3.33338536650529e-42
CISD3,4.19412406029345e-46,0.25052606925211,0.541,0.353,7.82581608410156e-42
DYNLL1,1.25506209744738e-44,0.252470321821931,0.975,0.922,2.34182036762707e-40
DDX17,4.16124042151466e-44,-0.261000336066302,0.315,0.497,7.76445850250421e-40
NPPA,5.28225592194981e-44,0.3927062892776,0.624,0.459,9.85616132476614e-40
PRAME,1.00844852693849e-43,-0.257545261919254,0.337,0.524,1.88166410641452e-39
CTSL,2.7678439371732e-43,0.2523376877738,0.453,0.279,5.16452000237148e-39
ALDOA,7.09122756416255e-42,-0.305635205416415,0.646,0.707,1.32315215119709e-37
CYBA,6.16797986804564e-41,0.332655619703162,0.56,0.386,1.15088336357864e-36
ARC,1.50865419369823e-40,-0.26161100122736,0.132,0.271,2.81499786002152e-36
