,p_val,avg_logFC,pct.1,pct.2,p_val_adj
KRT10,6.87245533729939e-44,-0.261297033601818,0.668,0.815,1.28233144138669e-39
RPS13,5.7750840532922e-43,-0.255305660006671,1,1,1.07757293350379e-38
ATP6V0E2,6.68351699340119e-43,-0.278455835535867,0.226,0.463,1.24707743579873e-38
SNX3,2.14716781439708e-42,-0.260742512196732,0.602,0.747,4.00640042488352e-38
CACNA2D1,3.07739144832898e-42,-0.274628495836053,0.209,0.448,5.74210470343705e-38
IGFBP2,4.67917221893605e-42,-0.590461118379907,0.823,0.887,8.73086744331278e-38
SLITRK6,2.77401730519536e-41,0.349154045100009,0.436,0.227,5.17603888976401e-37
PSMA6,3.38110482611901e-41,-0.274968170215996,0.293,0.522,6.30880349505546e-37
NTHL1,3.42917624099379e-41,-0.313034372946989,0.637,0.773,6.3984999480703e-37
CDKN1A,3.56513213342736e-41,0.403079017370799,0.647,0.413,6.65218004776212e-37
TXNL4A,5.16260204526158e-41,-0.267988299954924,0.245,0.475,9.63289915625358e-37
ROMO1,8.34600595689678e-41,-0.302405447049179,0.357,0.568,1.55728125149737e-36
ARMC10,1.26662760838525e-40,-0.266246901870686,0.182,0.404,2.36340045448604e-36
KRTCAP2,2.1333217662224e-40,-0.282841182206409,0.888,0.929,3.98056508359438e-36
SCGB2A1,4.19324921253682e-40,0.311120339885744,0.486,0.243,7.82418370567245e-36
SYT1,6.24251993258544e-40,0.307635506340584,0.734,0.524,1.16479179422112e-35
TMEM176A,6.91600568172794e-40,0.298357336065927,0.647,0.407,1.29045750015362e-35
ATRAID,7.5077227024525e-40,0.285992217242927,0.772,0.597,1.40086597905061e-35
LSM3,8.35160683371469e-40,0.284629939567297,0.609,0.391,1.55832631910282e-35
ASCL1,1.92190317047707e-39,0.389681659598105,0.962,0.903,3.58607912579316e-35
MAGEA4,2.11402907838362e-39,-0.256990554352514,0.226,0.453,3.944566857356e-35
PCLO,2.95710860253974e-39,-0.263457544736273,0.2,0.427,5.51766894147889e-35
YWHAG,3.70195510870846e-39,-0.272132333061655,0.218,0.446,6.90747803733912e-35
ALCAM,4.11106067702878e-39,0.317710640398697,0.413,0.22,7.67082811726801e-35
CFDP1,4.4996748325005e-39,-0.252656334450807,0.223,0.455,8.39594326996268e-35
CRIP2,8.65629315414815e-39,0.259444966596481,0.923,0.777,1.6151777396325e-34
SNHG15,9.98747334793349e-39,-0.281319889929129,0.232,0.452,1.86356265199091e-34
STMP1,1.21336713438025e-38,0.267282027914529,0.897,0.765,2.26402173604011e-34
RPS14,1.48328547534726e-38,-0.252775211232027,1,1,2.76766236845045e-34
PCBD1,1.57881695722064e-38,0.250647502923987,0.98,0.931,2.94591456047799e-34
DGCR6L,3.76533624811082e-38,-0.280294950795919,0.452,0.64,7.02574090534998e-34
GNRH2,7.43647402914466e-38,0.270794805937118,0.286,0.099,1.3875716890981e-33
NDUFA4L2,2.0809791873178e-37,0.376038353363308,0.767,0.539,3.88289906561628e-33
NDUFA6,2.58990988940956e-37,-0.27192855640017,0.278,0.494,4.83251286264929e-33
BEX1,2.67843801643063e-37,0.261859114950245,0.953,0.866,4.99769749485791e-33
EIF3L,5.9864559840259e-37,-0.264609361196869,0.548,0.687,1.11701282205939e-32
TSHZ1,1.36117905933816e-36,0.279652597695647,0.302,0.124,2.53982400681907e-32
AZGP1,1.70382301686391e-36,0.281556518433641,0.573,0.358,3.17916336716637e-32
ARC,2.72866406859822e-36,-0.294088023576601,0.096,0.263,5.09141428559742e-32
UQCR10,2.22668945273056e-35,-0.253440016872866,0.782,0.852,4.15477984984996e-31
UBE2S,2.30367932659801e-35,-0.292260253754727,0.189,0.403,4.29843525549922e-31
SFPQ,8.35212365560762e-35,-0.259213315387765,0.334,0.561,1.55842275289983e-30
WDR6,1.27253882854662e-34,0.303421966580898,0.415,0.22,2.37443020018514e-30
JUN,2.50084532147532e-34,-0.412878074427371,0.738,0.773,4.6663272853408e-30
DPYSL3,3.40962791718669e-34,-0.289609414606132,0.517,0.678,6.36202473067865e-30
CNPY3,5.823294561968e-34,0.26658513034798,0.598,0.415,1.08656853231761e-29
IER5,6.94216890012377e-34,-0.301812946801206,0.129,0.296,1.29533929507409e-29
CHID1,1.11566327328805e-33,0.268840634108338,0.569,0.376,2.08171610162817e-29
RASD1,2.78403386409243e-33,-0.399441641322582,0.254,0.406,5.19472878701007e-29
NME4,2.80342693802482e-33,0.258574369965763,0.621,0.438,5.23091432366051e-29
MT2A,1.18042557234305e-32,0.261688506106937,0.975,0.895,2.2025560754349e-28
ZFAND2A,1.29151584308893e-32,-0.254406097033511,0.097,0.259,2.40983941161964e-28
RPN1,1.76612918138862e-32,0.267303674453836,0.383,0.212,3.29542043955303e-28
BTG1,1.77557249917354e-32,-0.283872613315335,0.715,0.79,3.31304072620792e-28
CAMK2B,2.94340343632541e-32,0.372394160492216,0.8,0.655,5.49209647183959e-28
CCDC85B,3.80103358940668e-32,-0.260267741192336,0.221,0.416,7.09234857447392e-28
DUSP2,3.94828407896125e-32,-0.471528833755226,0.176,0.344,7.36710326293381e-28
SEC11C,8.60324797480153e-32,0.333810788768825,0.999,0.998,1.60528003961822e-27
RANBP1,7.61961193520281e-31,-0.251101870367933,0.847,0.908,1.42174339098949e-26
GGH,8.19408798524373e-30,0.308824043107611,0.6,0.42,1.52893487716663e-25
PABPC4,1.00230940162621e-29,-0.37170478566396,0.912,0.888,1.87020911249435e-25
MACF1,1.99331287655063e-29,-0.401361629298356,0.797,0.855,3.71932249635582e-25
CD47,3.46372287126005e-29,0.257091648182701,0.586,0.402,6.46296050548412e-25
LSM5,4.22729067528255e-29,-0.263615934633879,0.577,0.72,7.88770167100972e-25
JUNB,4.646811077204e-29,-0.326471015575998,0.191,0.35,8.67048478895494e-25
NUCB2,6.21766518188942e-29,0.270681259816616,0.807,0.662,1.16015414628875e-24
DNAJB1,1.17256493100623e-28,-0.432111878126755,0.62,0.669,2.18788890476452e-24
DDX17,1.22416402457252e-27,-0.251469788282845,0.287,0.482,2.28416765344986e-23
NKTR,4.30368512501714e-27,0.268424660001652,0.336,0.175,8.03024607476948e-23
