,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CPLX2,1.05487264519446e-21,-0.263313707542699,0.216,0.423,1.96828686866834e-17
LAPTM4A,1.12693351051654e-21,0.259707407584757,0.783,0.581,2.10274523727281e-17
RNASET2,1.18456243065408e-21,0.262890978737964,0.433,0.211,2.21027503935745e-17
CAMK2B,1.18904058357214e-21,0.404854540462361,0.789,0.656,2.21863082488725e-17
NDUFA6,1.4140848166497e-21,-0.259190251429053,0.311,0.495,2.63854085938667e-17
NTHL1,1.51262601562017e-21,-0.304874545868675,0.592,0.75,2.82240888254568e-17
RPLP1,1.57716219582819e-21,-0.288036552522686,1,1,2.94282694119582e-17
GNG5,2.21438356797107e-21,0.252465008076249,0.863,0.688,4.13181829947721e-17
MIEN1,2.36474364733626e-21,0.272915071290259,0.656,0.433,4.41237517156474e-17
AKAP9,2.41124885072936e-21,-0.295706677276581,0.534,0.704,4.49914923057592e-17
DDX17,3.00790726883282e-21,-0.281014020403101,0.357,0.531,5.61245417291515e-17
MIF,7.05240247247855e-21,-0.313674359631722,1,0.998,1.31590777733977e-16
COPRS,7.42280912434302e-21,0.258893708080334,0.515,0.292,1.38502195451116e-16
SCARB2,8.62897973685895e-21,0.268106842972997,0.667,0.441,1.61008132910051e-16
HMGN2,1.1853955609143e-20,0.341688925146805,1,1,2.21182957710999e-16
LSM5,1.67240310471488e-20,-0.304577138947157,0.526,0.71,3.12053695308749e-16
SYNGR2,2.03913839021906e-20,0.282344412323094,0.525,0.32,3.80482832230975e-16
KIAA0087,3.10316539787065e-20,-0.264936659006902,0.118,0.296,5.79019631588685e-16
APRT,4.81443137381193e-20,-0.269244500846122,0.319,0.519,8.98324750039568e-16
ARF6,5.44054984876261e-20,0.251173268456428,0.435,0.217,1.01515219628062e-15
CHD4,6.72579126115232e-20,-0.262781976804525,0.357,0.559,1.25496539141841e-15
PAPOLA,7.04042933062258e-20,0.265497655446791,0.718,0.501,1.31367370880087e-15
DGCR6L,7.08413965207166e-20,-0.261549279725097,0.481,0.626,1.32182961768005e-15
TKT,9.89931537613313e-20,0.257050115018973,0.582,0.35,1.84711325603268e-15
GSTO1,1.17715839535817e-19,0.255041683010271,0.564,0.328,2.19645984989881e-15
DUSP22,1.68163193748913e-19,0.253953651184592,0.427,0.221,3.13775703216096e-15
NUCB1,1.88680390725771e-19,0.26882395792126,0.501,0.286,3.52058741055217e-15
EPRS,2.94750113730111e-19,-0.259493698764037,0.444,0.632,5.49974237209015e-15
PSME1,3.0205585576572e-19,0.259133663829906,0.864,0.724,5.63606021273257e-15
ADIPOR1,3.07562135274254e-19,0.257805755550444,0.672,0.467,5.73880188208231e-15
BEX4,3.11227451165909e-19,0.260839076607115,0.742,0.559,5.8071930113047e-15
NR4A1,4.45546945038986e-19,-0.295818088804238,0.111,0.286,8.31346044748244e-15
UQCRFS1,5.98265506736252e-19,0.255302094577243,0.568,0.354,1.11630360901917e-14
SLC29A1,2.76637865127229e-18,0.275717843399417,0.712,0.521,5.16178592540897e-14
TXNL4A,4.87533531983738e-18,0.26351131475021,0.645,0.485,9.09688817328456e-14
APEX1,8.6597212428849e-18,-0.250329419461711,0.706,0.795,1.61581738670989e-13
CRNDE,8.72928207726731e-18,0.27998964153774,0.61,0.406,1.62879674279731e-13
RPRM,1.21185247524388e-17,-0.261047917496921,0.589,0.722,2.26119553355756e-13
SPTSSA,1.60544691128962e-17,0.251898495611709,0.567,0.352,2.99560339177531e-13
JUN,3.46510328363093e-17,-0.438740291032002,0.642,0.724,6.46553621692696e-13
IER2,4.02828265842021e-17,-0.365357747738343,0.274,0.421,7.51637261234627e-13
ID2,7.57737222989238e-17,-0.305232726864115,0.396,0.507,1.41386188437562e-12
SLITRK6,8.47881413394719e-17,0.265189728332573,0.482,0.272,1.58206192925321e-12
DDT,8.57246342592766e-17,-0.254500850093599,0.59,0.718,1.59953595064384e-12
CLDN7,1.05105750999925e-16,0.282960993694386,0.671,0.507,1.9611682079076e-12
ZFAS1,1.20119253155235e-16,-0.254168853764642,0.708,0.817,2.24130514462354e-12
MT1F,1.92978090027535e-16,-0.287210587435834,0.295,0.479,3.60077818182378e-12
P4HB,8.38123469811144e-16,0.260669240759585,0.797,0.658,1.56385458232061e-11
ARL4D,8.67250990584914e-16,-0.262725572936305,0.135,0.284,1.61820362333239e-11
MT-ND1,3.15895988486246e-15,-0.342162548893565,0.95,0.972,5.89430324916487e-11
AL138963.3,3.45119743289119e-15,-0.286236629560702,0.165,0.286,6.43958929003167e-11
SRM,7.42448505704714e-15,0.27608718161669,0.608,0.451,1.38533466679443e-10
BTG2,3.23566467414429e-14,-0.262581262379738,0.384,0.483,6.03742671548583e-10
AC109466.1,1.15194143828495e-13,0.267311270350756,0.492,0.308,2.1494075296959e-09
AKIRIN1,1.28678872752082e-13,-0.315769889344295,0.693,0.68,2.40101908668109e-09
DUSP1,1.55461358104417e-13,-0.33785950968165,0.245,0.388,2.90075348087032e-09
HIST1H2BK,3.93849906289224e-13,0.258687659069376,0.712,0.565,7.34884540145063e-09
JUNB,7.1142948748703e-13,-0.34857928604399,0.296,0.416,1.32745628070205e-08
PHLDA2,7.53428744977766e-13,0.310525676863062,0.678,0.513,1.40582269525401e-08
CTPS1,2.21492638191e-12,-0.354921565779428,0.481,0.547,4.13283113600587e-08
TUBB4B,2.2305455414473e-12,0.2686155228234,0.794,0.652,4.16197492578651e-08
CALCB,5.58292103952744e-12,-0.332173398822951,0.222,0.332,1.04171723676543e-07
UBC,2.1039657098155e-11,-0.261902538400574,0.985,0.992,3.92578961794473e-07
DNAJB1,9.54384370746412e-11,-0.389550450283842,0.628,0.662,1.78078579737573e-06
DDIT3,1.42789931439801e-09,0.257080337912818,0.372,0.223,2.66431733073525e-05
MT-CO1,1.99524314040515e-09,-0.333573540470079,0.994,0.996,3.72292417568197e-05
DUSP2,5.14478862673762e-06,-0.262533154232614,0.282,0.354,0.0959966109862973
HILPDA,8.05029561427872e-05,0.297539776567913,0.4,0.35,1
NDUFS5,0.0911058691904962,-0.332317733670734,1,1,1
