,1,2,3,4,5,6,7,8,9,10,11,12
DNAJC11,0.072172619047619,0.0999091734786558,0.0951302378255946,0.0462633451957295,0.103896103896104,0.135379061371841,0.0781609195402299,0.0276679841897233,0.0116279069767442,0.0606060606060606,0.0384615384615385,0
CAMTA1-DT,0,0,0.00339750849377123,0,0.00432900432900433,0.0036101083032491,0,0,0,0,0,0
CAMTA1,0.683779761904762,1.03269754768392,0.673839184597962,0.861209964412811,0.887445887445887,0.857400722021661,0.31264367816092,0.517786561264822,0.511627906976744,0.616161616161616,0.634615384615385,0.103448275862069
AL365194.1,0.0461309523809524,0.0708446866485014,0.121177802944507,0.00355871886120996,0.11038961038961,0.153429602888087,0.0137931034482759,0,0,0.0202020202020202,0,0
VAMP3,0.0744047619047619,0.0926430517711172,0.0894677236693092,0.395017793594306,0.0909090909090909,0.0902527075812274,0.0160919540229885,0.0474308300395257,0.313953488372093,0.282828282828283,0.230769230769231,0
PER3,0.0111607142857143,0.0145322434150772,0.014722536806342,0.0195729537366548,0.0173160173160173,0.0324909747292419,0.0160919540229885,0.00395256916996047,0.0174418604651163,0.0202020202020202,0.0192307692307692,0
PARK7,1.04315476190476,1.61307901907357,2.22763306908267,2.04270462633452,1.52164502164502,2.88628158844765,0.733333333333333,1.60869565217391,1.28488372093023,2.11111111111111,2.34615384615385,0.689655172413793
ERRFI1,0.0126488095238095,0.0326975476839237,0.0419026047565119,0.702846975088968,0.0324675324675325,0.0613718411552347,0.0137931034482759,0.00790513833992095,0.430232558139535,0.0404040404040404,3.94230769230769,0
AL034417.2,0.00446428571428571,0.00181653042688465,0.0135900339750849,0.0338078291814947,0.00649350649350649,0.0270758122743682,0.00459770114942529,0,0,0.0101010101010101,0.0576923076923077,0
LINC01714,0.00297619047619048,0,0.00453001132502831,0,0,0.0036101083032491,0,0,0,0,0,0
SLC45A1,0.00595238095238095,0.0072661217075386,0.0192525481313703,0.0355871886120996,0.00865800865800866,0.0433212996389892,0,0,0.00581395348837209,0,0.0192307692307692,0
RERE,0.215029761904762,0.280653950953678,0.399773499433749,0.224199288256228,0.341991341991342,0.384476534296029,0.347126436781609,0.0276679841897233,0.0813953488372093,0.272727272727273,0.211538461538462,0
ENO1,2.28422619047619,3.5858310626703,3.91845979614949,2.6067615658363,2.65584415584416,2.48194945848375,1.68735632183908,2.38339920948617,2.7906976744186,1.71717171717172,5.05769230769231,1.03448275862069
ENO1-AS1,0.0141369047619048,0.0072661217075386,0.0237825594563986,0,0.012987012987013,0.0288808664259928,0.0137931034482759,0.0118577075098814,0.0116279069767442,0,0,0
CA6,0.0491071428571429,0.0644868301544051,0.00453001132502831,0.00177935943060498,0.0367965367965368,0.0162454873646209,0.00689655172413793,0,0,0,0,0
SLC2A5,0,0,0.00226500566251416,0.00177935943060498,0,0.0036101083032491,0,0,0.063953488372093,0,0,0
GPR157,0.0193452380952381,0.0190735694822888,0.00679501698754247,0,0.012987012987013,0.0216606498194946,0.0114942528735632,0.00395256916996047,0.0116279069767442,0,0.192307692307692,0
MIR34AHG,0.00967261904761905,0.0136239782016349,0.0169875424688562,0.0195729537366548,0.00865800865800866,0.0162454873646209,0.0505747126436782,0,0.0174418604651163,0.0101010101010101,0.0192307692307692,0
LINC01759,0.0282738095238095,0.0290644868301544,0.014722536806342,0.0195729537366548,0.0173160173160173,0.036101083032491,0.00459770114942529,0.0118577075098814,0.00581395348837209,0,0.0192307692307692,0
H6PD,0.0133928571428571,0.0345140781108084,0.0226500566251416,0.0427046263345196,0.0108225108225108,0.0523465703971119,0.0229885057471264,0.0158102766798419,0,0.0404040404040404,0.346153846153846,0
SPSB1,0.0163690476190476,0.0326975476839237,0.00679501698754247,0.250889679715303,0.012987012987013,0.0144404332129964,0.00919540229885057,0.0395256916996047,0.0406976744186047,0.151515151515151,0.461538461538462,0
SLC25A33,0.0788690476190476,0.189827429609446,0.10872027180068,0.0854092526690391,0.227272727272727,0.283393501805054,0.0367816091954023,0.130434782608696,0.063953488372093,0.0606060606060606,0.153846153846154,0
TMEM201,0.0342261904761905,0.036330608537693,0.0520951302378256,0.00711743772241993,0.0692640692640693,0.0523465703971119,0.0413793103448276,0,0.0116279069767442,0.0202020202020202,0,0.0344827586206897
PIK3CD,0.00818452380952381,0.0072661217075386,0.0101925254813137,0.0249110320284697,0.00649350649350649,0.0126353790613718,0.00229885057471264,0.0474308300395257,0.0174418604651163,0.0101010101010101,0.0384615384615385,0
PIK3CD-AS2,0.0282738095238095,0.036330608537693,0.0826727066817667,0.0427046263345196,0.0281385281385281,0.092057761732852,0.0114942528735632,0.0118577075098814,0,0,0.0961538461538462,0
CLSTN1,0.288690476190476,0.406902815622162,0.285390713476784,0.240213523131673,0.515151515151515,0.310469314079422,0.27816091954023,0.0711462450592885,0.104651162790698,0.363636363636364,0.288461538461538,0.0344827586206897
