,8,9,10,11,12
CDK11A,0.075098814229249,0.0290697674418605,0.0303030303030303,0.0192307692307692,0
NADK,0.0158102766798419,0.0581395348837209,0.0808080808080808,0,0
GNB1,0.0276679841897233,0.145348837209302,0.333333333333333,0.269230769230769,0
GABRD,0,0,0.242424242424242,0,0
PRKCZ,0.0197628458498024,0.0116279069767442,0.0404040404040404,0.0192307692307692,0
FAAP20,0.110671936758893,0.104651162790698,0.111111111111111,0.153846153846154,0
SKI,0.0118577075098814,0.0290697674418605,0.181818181818182,0.0192307692307692,0
MORN1,0,0.00581395348837209,0,0,0
RER1,0.114624505928854,0.11046511627907,0.0909090909090909,0.211538461538462,0
PEX10,0.0118577075098814,0.00581395348837209,0.0505050505050505,0.0192307692307692,0
PANK4,0,0.00581395348837209,0.0202020202020202,0,0
AL139246.5,0.0118577075098814,0.0581395348837209,0.0404040404040404,0,0
TNFRSF14-AS1,0.00790513833992095,0.0116279069767442,0.0101010101010101,0,0
TNFRSF14,0.150197628458498,0.151162790697674,0.111111111111111,0.0576923076923077,0
FAM213B,0.0118577075098814,0.0116279069767442,0.0202020202020202,0,0
ARHGEF16,0,0,0,0.0192307692307692,0
TPRG1L,0.0118577075098814,0.0290697674418605,0.0303030303030303,0.0192307692307692,0
WRAP73,0.0395256916996047,0.0406976744186047,0.0303030303030303,0.0576923076923077,0
TP73,0,0,0,0,0
SMIM1,0,0.00581395348837209,0,0.0576923076923077,0.241379310344828
LRRC47,0.0118577075098814,0.0116279069767442,0.0202020202020202,0.0192307692307692,0
CEP104,0.0158102766798419,0.0116279069767442,0.0505050505050505,0.0192307692307692,0
DFFB,0.0158102766798419,0,0.0202020202020202,0,0
C1orf174,0.0474308300395257,0.0232558139534884,0.0303030303030303,0.0192307692307692,0
LINC01346,0,0,0,0,0
NPHP4,0.00395256916996047,0,0.0101010101010101,0,0
KCNAB2,0.0553359683794466,0.0988372093023256,0,0.0192307692307692,0
RPL22,3,2.43023255813953,2.75757575757576,2.51923076923077,0.448275862068966
ICMT,0.0158102766798419,0.0116279069767442,0.0303030303030303,0,0
GPR153,0,0,0,0.0192307692307692,0
ACOT7,0.00395256916996047,0.0348837209302326,0.0505050505050505,0.0192307692307692,0
HES2,0,0.0116279069767442,0.0101010101010101,0,0
ESPN,0.00395256916996047,0.00581395348837209,0,0.134615384615385,0
TNFRSF25,0.0592885375494071,0,0.0606060606060606,0.0192307692307692,0
PLEKHG5,0,0,0.0202020202020202,0,0
NOL9,0,0.00581395348837209,0.0404040404040404,0,0
ZBTB48,0.0316205533596838,0.00581395348837209,0.0202020202020202,0.0384615384615385,0
KLHL21,0.0197628458498024,0.0290697674418605,0.0101010101010101,0.0192307692307692,0
PHF13,0.00790513833992095,0,0.0303030303030303,0.0384615384615385,0
THAP3,0.0276679841897233,0.00581395348837209,0.0505050505050505,0.0192307692307692,0
DNAJC11,0.0158102766798419,0.00581395348837209,0.0303030303030303,0,0
CAMTA1,0.0988142292490119,0.174418604651163,0.232323232323232,0.269230769230769,0
VAMP3,0.0237154150197628,0.145348837209302,0.141414141414141,0.0192307692307692,0
PER3,0.00395256916996047,0.0116279069767442,0.0101010101010101,0.0192307692307692,0
TNFRSF9,0.102766798418972,0,0,0,0
PARK7,0.383399209486166,0.343023255813953,0.646464646464647,0.769230769230769,0.0344827586206897
ERRFI1,0.00395256916996047,0.232558139534884,0.0202020202020202,1.61538461538462,0
AL034417.2,0,0,0,0.0192307692307692,0
RERE,0.0118577075098814,0.0290697674418605,0.151515151515152,0.0576923076923077,0
ENO1,0.541501976284585,0.895348837209302,0.363636363636364,1.88461538461538,0.0344827586206897
ENO1-AS1,0.00790513833992095,0.00581395348837209,0,0,0
SLC2A5,0,0.0290697674418605,0,0,0
GPR157,0.00395256916996047,0.00581395348837209,0,0.0769230769230769,0
