,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
PIK3CD,0.0168067226890756,0.0197044334975369,0.0158730158730159,0.00909090909090909
PIK3CD-AS2,0.0168067226890756,0.00492610837438424,0,0
CLSTN1,0.0504201680672269,0.0640394088669951,0.158730158730159,0.0681818181818182
CTNNBIP1,0.0252100840336134,0.0541871921182266,0,0.0409090909090909
LZIC,0.0252100840336134,0.0788177339901478,0.0317460317460317,0.0545454545454545
NMNAT1,0.0168067226890756,0.0147783251231527,0,0
RBP7,0.420168067226891,0.285714285714286,0.555555555555556,0.0909090909090909
UBE4B,0.0756302521008403,0.0443349753694581,0.0158730158730159,0.0227272727272727
KIF1B,0.0420168067226891,0.0147783251231527,0.0793650793650794,0.0136363636363636
PGD,0.0840336134453782,0.177339901477833,0.142857142857143,0.15
DFFA,0.0420168067226891,0.0246305418719212,0.0476190476190476,0.0363636363636364
PEX14,0.0336134453781513,0.0246305418719212,0,0.0272727272727273
CASZ1,0,0,0.0476190476190476,0
C1orf127,0.00840336134453781,0.00492610837438424,0,0
TARDBP,0.0504201680672269,0.00985221674876847,0.0317460317460317,0.0272727272727273
SRM,0.109243697478992,0.0295566502463054,0.0317460317460317,0.0681818181818182
EXOSC10,0,0.0246305418719212,0.0317460317460317,0.0318181818181818
MTOR,0.0168067226890756,0.00492610837438424,0.0317460317460317,0.0136363636363636
UBIAD1,0.0420168067226891,0.0394088669950739,0,0.0227272727272727
FBXO2,0,0.0197044334975369,0.0158730158730159,0.0363636363636364
FBXO44,0.00840336134453781,0.0394088669950739,0.0158730158730159,0.0636363636363636
FBXO6,0.0336134453781513,0.0147783251231527,0,0.00909090909090909
MAD2L2,0.0588235294117647,0.0788177339901478,0.142857142857143,0.1
AGTRAP,0.0504201680672269,0.137931034482759,0.0952380952380952,0.0727272727272727
MTHFR,0.0504201680672269,0.0344827586206897,0.0158730158730159,0.00454545454545455
CLCN6,0,0.00985221674876847,0.0158730158730159,0.0136363636363636
NPPA,0.00840336134453781,0.00492610837438424,0,0.0136363636363636
KIAA2013,0.0588235294117647,0.0443349753694581,0.0793650793650794,0.0318181818181818
PLOD1,0.0672268907563025,0.0886699507389163,0.0317460317460317,0.0727272727272727
MFN2,0.0168067226890756,0.0147783251231527,0.0317460317460317,0.0136363636363636
MIIP,0.0588235294117647,0.0344827586206897,0.0317460317460317,0.0727272727272727
TNFRSF1B,0.109243697478992,0.12807881773399,0.317460317460317,0.0954545454545455
VPS13D,0.0672268907563025,0.0147783251231527,0.0158730158730159,0.0318181818181818
DHRS3,0.0588235294117647,0.0492610837438424,0.158730158730159,0.0454545454545455
PRDM2,0.100840336134454,0.0344827586206897,0.0476190476190476,0.0136363636363636
TMEM51,0.0252100840336134,0.0394088669950739,0.0158730158730159,0.0272727272727273
FHAD1,0,0.00985221674876847,0,0
EFHD2,0.126050420168067,0.0738916256157636,0.142857142857143,0.113636363636364
CASP9,0.0252100840336134,0.00985221674876847,0.0158730158730159,0.0181818181818182
DNAJC16,0.0336134453781513,0.0147783251231527,0.0476190476190476,0.00909090909090909
DDI2,0.0336134453781513,0.0295566502463054,0.0317460317460317,0.0363636363636364
PLEKHM2,0.00840336134453781,0.0197044334975369,0.0317460317460317,0.0227272727272727
TMEM82,0,0.0147783251231527,0,0
FBLIM1,0.0756302521008403,0.0246305418719212,0.0476190476190476,0.00909090909090909
UQCRHL,0.0252100840336134,0.0147783251231527,0,0.0272727272727273
