,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
CLTRN,0.0265324794144556,0.0280665280665281,0.0278330019880716,0.0277998411437649
CA5B,0.0594693504117109,0.0317047817047817,0.0536779324055666,0.0428911834789516
ZRSR2,0.090576395242452,0.0556133056133056,0.099403578528827,0.0730738681493249
AP1S2,0.252516010978957,0.159043659043659,0.332007952286282,0.220810166799047
AC078993.1,0.00182982616651418,0.00051975051975052,0.00198807157057654,0.00158856235107228
MAGEB17,0.0219579139981702,0.00467775467775468,0.0178926441351889,0.0103256552819698
CTPS2,0.0795974382433669,0.0431392931392931,0.099403578528827,0.0532168387609214
SYAP1,0.235132662397072,0.158523908523909,0.254473161033797,0.169181890389198
TXLNG,0.161939615736505,0.0971933471933472,0.234592445328032,0.115965051628276
RBBP7,0.404391582799634,0.482848232848233,0.475149105367793,0.711675933280381
REPS2,0.0237877401646844,0.0218295218295218,0.0099403578528827,0.0262112787926926
NHS,0.0329368709972553,0.0504158004158004,0.0377733598409543,0.0500397140587768
SCML1,0.0914913083257091,0.0576923076923077,0.099403578528827,0.0532168387609214
RAI2,0.0329368709972553,0.0317047817047817,0.0218687872763419,0.039714058776807
LINC01456,0.0347666971637694,0.00727650727650728,0.0437375745526839,0.0103256552819698
SCML2,0.0228728270814273,0.0452182952182952,0.0357852882703777,0.0603653693407466
CDKL5,0.00457456541628545,0.00103950103950104,0.0099403578528827,0.00238284352660842
PHKA2,0.0347666971637694,0.0228690228690229,0.0397614314115308,0.0230341540905481
PDHA1,0.211344922232388,0.241164241164241,0.248508946322068,0.312946783161239
MAP3K15,0.00274473924977127,0.00623700623700624,0.00397614314115308,0.0079428117553614
SH3KBP1,0.0247026532479414,0.0623700623700624,0.0298210735586481,0.0698967434471803
BCLAF3,0.0320219579139982,0.0228690228690229,0.0318091451292246,0.0214455917394758
MAP7D2,0.137236962488564,0.0992723492723493,0.190854870775348,0.120730738681493
EIF1AX,1.13357731015554,0.902806652806653,1.01590457256461,0.91977760127085
RPS6KA3,0.15096065873742,0.121101871101871,0.190854870775348,0.157267672756156
AL807740.1,0.00182982616651418,0,0.00596421471172962,0
CNKSR2,0.080512351326624,0.0213097713097713,0.10337972166998,0.0389197776012708
KLHL34,0.00823421774931381,0.00675675675675676,0.00397614314115308,0.00476568705321684
MBTPS2,0.0631290027447392,0.0597713097713098,0.0854870775347912,0.0532168387609214
YY2,0.00731930466605672,0.0051975051975052,0.00795228628230616,0.00555996822875298
SMS,0.85544373284538,0.932432432432432,0.813121272365805,1.20254169976172
PRDX4,1.34034766697164,1.77182952182952,1.28429423459245,2.2549642573471
ACOT9,0.020128087831656,0.0285862785862786,0.0318091451292246,0.039714058776807
SAT1,0.586459286367795,0.498960498960499,0.628230616302187,0.470214455917395
APOO,0.307410795974382,0.230769230769231,0.298210735586481,0.354249404289118
CXorf58,0.000914913083257091,0.00103950103950104,0,0.00238284352660842
KLHL15,0.0695333943275389,0.0483367983367983,0.125248508946322,0.0532168387609214
EIF2S3,0.491308325709058,0.504677754677755,0.516898608349901,0.715647339158062
ZFX,0.0850869167429094,0.0675675675675676,0.0914512922465209,0.0754567116759333
PDK3,0.0988106129917658,0.111226611226611,0.0934393638170974,0.132644956314535
PCYT1B,0.0393412625800549,0.0228690228690229,0.0755467196819085,0.0182684670373312
POLA1,0.0713632204940531,0.0540540540540541,0.101391650099404,0.0667196187450357
ARX,0.00365965233302836,0.00103950103950104,0.00198807157057654,0
AC112493.1,0.00182982616651418,0.00155925155925156,0.00397614314115308,0.00079428117553614
AC107419.1,0.0420860018298262,0.0218295218295218,0.0536779324055666,0.00555996822875298
PPP4R3C,0.0311070448307411,0.0322245322245322,0.0516898608349901,0.0349483717235902
DCAF8L2,0.00731930466605672,0.00207900207900208,0.0099403578528827,0.00317712470214456
DCAF8L1,0.00823421774931381,0.00051975051975052,0.0178926441351889,0.00158856235107228
GK,0.0329368709972553,0.0452182952182952,0.0417495029821074,0.0436854646544877
TAB3,0.0384263494967978,0.0207900207900208,0.0497017892644135,0.0389197776012708
LANCL3,0.00182982616651418,0.00051975051975052,0,0.00079428117553614
XK,0.0283623055809698,0.0369022869022869,0.0377733598409543,0.0420969023034154
DYNLT3,0.176578225068618,0.227650727650728,0.218687872763419,0.270055599682288
RPGR,0.0576395242451967,0.0935550935550936,0.0536779324055666,0.0937251787132645
TSPAN7,0.0933211344922232,0.00103950103950104,0.107355864811133,0.00079428117553614
MID1IP1,0.177493138151876,0.128378378378378,0.15506958250497,0.196187450357427
MID1IP1-AS1,0,0.00051975051975052,0.00198807157057654,0.00079428117553614
LINC01281,0.000914913083257091,0.00051975051975052,0.00198807157057654,0
AL592164.1,0.000914913083257091,0.00207900207900208,0.00397614314115308,0.00158856235107228
BCOR,0.15096065873742,0.124220374220374,0.163021868787276,0.151707704527403
ATP6AP2,0.401646843549863,0.555093555093555,0.459244532803181,0.760127084988086
CXorf38,0.0521500457456542,0.0540540540540541,0.0695825049701789,0.039714058776807
MED14,0.124428179322964,0.0857588357588358,0.1610337972167,0.0953137410643368
MED14OS,0.00731930466605672,0.00311850311850312,0.0159045725646123,0.00953137410643368
USP9X,0.238792314730101,0.209459459459459,0.314115308151093,0.235107227958697
AL109797.1,0,0.00103950103950104,0.00198807157057654,0.00238284352660842
DDX3X,0.411710887465691,0.313929313929314,0.395626242544732,0.37648927720413
CASK,0.134492223238792,0.0831600831600832,0.163021868787276,0.0913423351866561
GPR82,0.00457456541628545,0.00363825363825364,0.0099403578528827,0
Z93403.1,0.0631290027447392,0.0332640332640333,0.0894632206759443,0.0500397140587768
MAOA,0.0182982616651418,0.0155925155925156,0.0318091451292246,0.0238284352660842
MAOB,0.0155535224153705,0.0161122661122661,0.0318091451292246,0.0206513105639396
EFHC2,0.000914913083257091,0.0077962577962578,0.00596421471172962,0.0206513105639396
FUNDC1,0.139066788655078,0.129417879417879,0.166998011928429,0.161239078633836
KDM6A,0.0768526989935956,0.0873180873180873,0.0834990059642147,0.0778395552025417
KRBOX4,0.0869167429094236,0.0758835758835759,0.117296222664016,0.0770452740270056
ZNF674,0.0109789569990851,0.00571725571725572,0.0099403578528827,0.0079428117553614
