,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
HEATR1,0.136935603256847,0.0659100829332169,0.165341812400636,0.0907462686567164
ACTN2,0.0199851961509993,0.0144041903099083,0.0349761526232114,0.0226865671641791
MTR,0.0977054034048853,0.148406809253601,0.139904610492846,0.14865671641791
RYR2,0.51739452257587,0.392841553906591,0.618441971383148,0.517014925373134
LINC01139,0.0688378978534419,0.0650371017023134,0.104928457869634,0.115223880597015
CHRM3,0.0288675055514434,0.0183326058489742,0.0397456279809221,0.0322388059701493
FMN2,0.125092524056255,0.0558707987778263,0.160572337042925,0.0722388059701493
RGS7,0.393782383419689,0.0205150589262331,0.448330683624801,0.0388059701492537
AL359764.1,0.0111028867505551,0,0.0111287758346582,0
FH,0.188749074759437,0.136621562636403,0.278219395866455,0.226268656716418
KMO,0.0199851961509993,0.00305543430816237,0.0127186009538951,0.00776119402985075
OPN3,0.0940044411547002,0.0157136621562636,0.0794912559618442,0.0411940298507463
CHML,0.0481125092524056,0.0327367961588826,0.0842607313195548,0.0567164179104478
EXO1,0.0384900074019245,0.0161501527717154,0.0604133545310016,0.0244776119402985
CEP170,0.43079200592154,0.268005237887385,0.758346581875994,0.365373134328358
SDCCAG8,0.27979274611399,0.256656481885639,0.368839427662957,0.315820895522388
AKT3,0.302738712065137,0.0999563509384548,0.41335453100159,0.186865671641791
ZBTB18,0.0407105847520355,0.0157136621562636,0.0508744038155803,0.026865671641791
ADSS,0.288675055514434,0.147970318638149,0.337042925278219,0.229253731343284
CATSPERE,0.00666173205033309,0.00218245307725884,0.0111287758346582,0.00597014925373134
DESI2,0.168763878608438,0.143605412483632,0.230524642289348,0.216716417910448
AL451007.3,0.0207253886010363,0,0.0206677265500795,0.0149253731343284
AL451007.2,0.00444115470022206,0,0,0
COX20,0.427831236121392,0.368834570056744,0.499205087440382,0.537910447761194
HNRNPU,1.78534418948927,1.32649498035792,2.3879173290938,1.94805970149254
BX323046.1,0.0111028867505551,0.00611086861632475,0.0174880763116057,0.0101492537313433
AL356512.1,0.0236861584011843,0.0192055870798778,0.0349761526232114,0.026865671641791
EFCAB2,0.142857142857143,0.139676996944566,0.186009538950715,0.218507462686567
KIF26B,0.0384900074019245,0.0410301178524662,0.0604133545310016,0.0429850746268657
SMYD3,0.978534418948927,0.911392405063291,1.46422893481717,1.52955223880597
AC092801.1,0.0111028867505551,0.00567437800087298,0.0127186009538951,0.00597014925373134
TFB2M,0.160621761658031,0.108249672632038,0.171701112877583,0.189253731343284
CNST,0.176905995558845,0.119161938018333,0.292527821939587,0.145671641791045
SCCPDH,0.698741672834937,0.542121344391096,1.07949125596184,1.13791044776119
AL591848.4,0.00962250185048113,0.00611086861632475,0.0095389507154213,0.00716417910447761
AHCTF1,0.163582531458179,0.130074203404627,0.281399046104928,0.203582089552239
ZNF695,0.0185048112509252,0.00654735923177652,0.0349761526232114,0.0149253731343284
ZNF670,0.0318282753515914,0.013094718463553,0.0365659777424483,0.0328358208955224
ZNF669,0.0925240562546262,0.0379746835443038,0.162162162162162,0.0543283582089552
