,met1,met2
PKDCC,0.0200501253132832,0.0358152686145146
AC083949.1,0.0031328320802005,0.00157084511467169
EML4,0.234962406015038,0.247879359095193
COX7A2L,1.38220551378446,1.65849827207037
KCNG3,0.0106516290726817,0.00282752120640905
MTA3,0.115914786967419,0.136977693999372
ZFP36L2,0.1265664160401,0.115300031416902
LINC01126,0.0012531328320802,0.000628338045868677
AC010883.1,0.0194235588972431,0.0179076343072573
THADA,0.12593984962406,0.0791705937794533
PLEKHH2,0.0025062656641604,0.0323594093622369
C1GALT1C1L,0.0162907268170426,0.0125667609173735
DYNC2LI1,0.288847117794486,0.330505812126924
LRPPRC,0.461779448621554,0.34904178448005
AC019129.2,0.0081453634085213,0.00188501413760603
PPM1B,0.239974937343358,0.130380144517751
SLC3A1,0.0131578947368421,0.0040841972981464
PREPL,0.401002506265664,0.295318881558278
CAMKMT,0.159774436090226,0.106503298774741
LINC01833,0.0025062656641604,0.00314169022934339
SIX3-AS1,0.0332080200501253,0.0219918316054037
SIX3,0.101503759398496,0.0333019164310399
AC012354.1,0.0031328320802005,0.000314169022934339
SIX2,0.081453634085213,0.0710021991831605
AC093833.1,0.0012531328320802,0.000314169022934339
SRBD1,0.0545112781954887,0.040841972981464
PRKCE,0.0620300751879699,0.061262959472196
EPAS1,0.0263157894736842,0.0304743952246308
ATP6V1E2,0.0595238095238095,0.0147659440779139
RHOQ,0.0576441102756892,0.0336160854539742
PIGF,0.25,0.248193528118128
CRIPT,0.43796992481203,0.466226830034559
SOCS5,0.0726817042606516,0.0587496072887213
MCFD2,0.159774436090226,0.140433553251649
TTC7A,0.056390977443609,0.0358152686145146
STPG4,0.0031328320802005,0.000942507068803016
CALM2,4.64786967418546,5.31448319195727
AC106869.1,0.130325814536341,0.183160540370719
AC073283.2,0.0031328320802005,0.000942507068803016
EPCAM,3.71177944862155,7.36663524976437
MSH2,0.404761904761905,0.354068488847
KCNK12,0.151002506265664,0.0502670436694942
MSH6,0.323934837092732,0.306000628338046
FBXO11,0.216165413533835,0.207351555136664
AC079807.1,0.0332080200501253,0.0326735783851712
FOXN2,0.0977443609022556,0.0700596921143575
AC093635.1,0.0363408521303258,0.0471253534401508
PPP1R21,0.181077694235589,0.151743638077286
STON1,0.0012531328320802,0.00125667609173735
NRXN1,0.654135338345865,0.661639962299717
AC010967.1,0.0031328320802005,0.000628338045868677
ASB3,0.0820802005012531,0.0342444234998429
GPR75-ASB3,0.0037593984962406,0.00188501413760603
CHAC2,0.0225563909774436,0.018535972353126
ERLEC1,0.2531328320802,0.229343386742067
GPR75,0.0087719298245614,0.0056550424128181
PSME4,0.167919799498747,0.078856424756519
ACYP2,0.279448621553885,0.31354068488847
AC008280.3,0.006265664160401,0.00282752120640905
C2orf73,0.0300751879699248,0.0358152686145146
SPTBN1,0.399749373433584,0.231228400879673
EML6,0.0946115288220551,0.0257618598806158
RTN4,1.28258145363409,1.09393653785737
CLHC1,0.0532581453634085,0.0424128180961357
RPS27A,29.2061403508772,25.9830348727615
MTIF2,0.113408521303258,0.105874960728872
AC012358.3,0.0156641604010025,0.0116242538485705
CCDC88A,0.382832080200501,0.303801445177506
CFAP36,1.03508771929825,0.896638391454603
PPP4R3B,0.390350877192982,0.373861137291863
AC015982.1,0.0607769423558897,0.0342444234998429
PNPT1,0.132832080200501,0.0823122840087967
CCDC85A,0.0043859649122807,0.00125667609173735
VRK2,0.119047619047619,0.116870876531574
FANCL,0.454260651629073,0.438894125039271
AC007250.1,0.0137844611528822,0.00628338045868677
LINC01795,0.0858395989974937,0.000628338045868677
LINC01122,0.0219298245614035,0.0144517750549796
BCL11A,0.393483709273183,0.207037386113729
PAPOLG,0.0808270676691729,0.0725730442978322
LINC01185,0.0018796992481203,0.000942507068803016
REL,0.261904761904762,0.126924285265473
PUS10,0.0213032581453634,0.0267043669494188
PEX13,0.180451127819549,0.177505497957901
KIAA1841,0.0958646616541353,0.101162425384857
C2orf74,0.209273182957393,0.15928369462771
USP34,0.417293233082707,0.234684260131951
AC016727.1,0.0332080200501253,0.0373861137291863
XPO1,0.570175438596491,0.466226830034559
FAM161A,0.344611528822055,0.250392711278668
CCT4,1.4812030075188,1.45931511153
AC107081.2,0.0025062656641604,0.00157084511467169
COMMD1,0.268170426065163,0.183160540370719
B3GNT2,0.149122807017544,0.0546654099905749
TMEM17,0.0852130325814536,0.0728872133207666
EHBP1,0.239348370927318,0.16148287778825
AC092567.1,0.0025062656641604,0.00125667609173735
AC009501.1,0.0144110275689223,0.0056550424128181
OTX1,0.0043859649122807,0.00125667609173735
WDPCP,0.0645363408521303,0.0345585925227773
MDH1,1.28947368421053,1.15300031416902
UGP2,0.234335839598997,0.29908890983349
VPS54,0.0833333333333333,0.0936223688344329
PELI1,0.12593984962406,0.0794847628023877
AC012368.1,0.0150375939849624,0.0138234370091109
LINC00309,0.0018796992481203,0.000314169022934339
AC008074.1,0.0018796992481203,0.00157084511467169
LGALSL,0.0570175438596491,0.0666038328620798
LINC01805,0.0006265664160401,0.00125667609173735
AC008074.3,0.006265664160401,0.00314169022934339
AFTPH,0.224937343358396,0.200439836632108
SERTAD2,0.172932330827068,0.139491046182846
AC007365.1,0.0043859649122807,0.00377002827521206
SLC1A4,0.0852130325814536,0.0606346214263274
CEP68,0.135338345864662,0.105246622683003
RAB1A,0.520676691729323,0.453660069117185
ACTR2,0.434210526315789,0.319509896324222
SPRED2,0.0914786967418546,0.0625196355639334
LINC01873,0.0087719298245614,0.0056550424128181
MEIS1,0.0144110275689223,0.0153942821237826
LINC01829,0.0087719298245614,0.0182218033301916
AC023115.1,0.0006265664160401,0.000628338045868677
ETAA1,0.0551378446115288,0.037071944706252
AC007422.1,0.0006265664160401,0.00188501413760603
AC007422.2,0.0144110275689223,0.0568645931511153
LINC01812,0.0068922305764411,0.00785422557335847
C1D,0.421052631578947,0.478793590951932
WDR92,0.0137844611528822,0.00439836632108074
PNO1,0.137844611528822,0.106817467797675
PPP3R1,0.143483709273183,0.153628652214892
AC017083.2,0.0200501253132832,0.0147659440779139
AC017083.1,0.043859649122807,0.017593465284323
CNRIP1,0.532581453634085,0.618284637134779
PLEK,0.0018796992481203,0.00282752120640905
FBXO48,0.0294486215538847,0.0100534087338988
APLF,0.0075187969924812,0.000628338045868677
ARHGAP25,0.0281954887218045,0.0301602262016965
GKN2,0,0.0235626767200754
ANTXR1,0.0037593984962406,0.0251335218347471
GFPT1,0.338972431077694,0.249136035186931
NFU1,0.331453634085213,0.290606346214263
AAK1,0.0996240601503759,0.0486961985548225
ANXA4,0.0081453634085213,0.0420986490732014
GMCL1,0.268170426065163,0.206723217090795
SNRNP27,0.333333333333333,0.427898209236569
MXD1,0.359649122807018,0.166195413132265
ASPRV1,0.0037593984962406,0.00439836632108074
PCBP1,2.23370927318296,2.48005026704367
LINC01816,0.0238095238095238,0.0197926484448633
C2orf42,0.0244360902255639,0.022306000628338
TIA1,0.49874686716792,0.404335532516494
PCYOX1,0.177318295739348,0.182218033301916
SNRPG,1.89661654135338,1.41470311027333
FAM136A,0.454260651629073,0.489789506754634
AC022201.2,0.0025062656641604,0.000942507068803016
TGFA,0.0068922305764411,0.0097392397109645
ADD2,0.231829573934837,0.0914231856738926
CLEC4F,0.0031328320802005,0.000314169022934339
CD207,0.0031328320802005,0.000314169022934339
LINC01143,0.0607769423558897,0.0289035501099592
VAX2,0.0845864661654135,0.0351869305686459
ATP6V1B1,0.0068922305764411,0.0116242538485705
AC007040.2,0,0.00157084511467169
ANKRD53,0.0037593984962406,0.0040841972981464
TEX261,0.100877192982456,0.0694313540684888
NAGK,0.164160401002506,0.163053722902922
AC007881.3,0.0006265664160401,0.00157084511467169
MCEE,0.109649122807018,0.0939365378573673
MPHOSPH10,0.263157894736842,0.240967640590638
PAIP2B,0.0902255639097744,0.0232485076971411
ZNF638,0.528822055137845,0.515237197612315
AC007878.1,0.0081453634085213,0.00722588752748979
DYSF,0.0037593984962406,0.000314169022934339
CYP26B1,0.0006265664160401,0.00282752120640905
EXOC6B,0.0739348370927318,0.0392711278667923
SPR,0.171052631578947,0.272070373861137
SFXN5,0.0281954887218045,0.0216776625824694
RAB11FIP5,0.0181704260651629,0.0157084511467169
SMYD5,0.025062656641604,0.0282752120640905
PRADC1,0.142230576441103,0.119070059692114
CCT7,1.234335839599,1.17247879359095
FBXO41,0.0870927318295739,0.0719447062519636
EGR4,0.169799498746867,0.00691171850455545
ALMS1,0.132205513784461,0.0854539742381401
TPRKB,0.385338345864662,0.315425699026076
DUSP11,0.202380952380952,0.181589695256048
STAMBP,0.213659147869674,0.14703110273327
DGUOK,1.20551378446115,1.01382343700911
DGUOK-AS1,0.0200501253132832,0.0040841972981464
TET3,0.0657894736842105,0.0364436066603833
BOLA3,0.597117794486215,0.385171222117499
BOLA3-AS1,0.177944862155388,0.100848256361923
MOB1A,0.201754385964912,0.295633050581213
AC073263.2,0.0068922305764411,0.000942507068803016
MTHFD2,0.471804511278196,0.331134150172793
SLC4A5,0.0037593984962406,0.00188501413760603
DCTN1,0.347744360902256,0.137920201068175
C2orf81,0.0275689223057644,0.00754005655042413
WDR54,0.469298245614035,0.38956958843858
RTKN,0.174185463659148,0.128495130380145
INO80B,0.0119047619047619,0.00534087338988376
WBP1,0.324561403508772,0.191014765944078
MOGS,0.0914786967418546,0.0832547910775998
MRPL53,0.0670426065162907,0.0383286207979893
CCDC142,0.0231829573934837,0.017593465284323
TTC31,0.0532581453634085,0.0540370719447062
LBX2,0,0.00125667609173735
LBX2-AS1,0,0.0040841972981464
PCGF1,0.121553884711779,0.160540370719447
TLX2,0.0162907268170426,0.0147659440779139
AUP1,0.639724310776942,0.65315739868049
HTRA2,0.239974937343358,0.202324850769714
LOXL3,0.0300751879699248,0.0153942821237826
DOK1,0.0338345864661654,0.0339302544769086
SEMA4F,0.0300751879699248,0.017593465284323
AC019069.1,0.0012531328320802,0.00157084511467169
HK2,0.1265664160401,0.0710021991831605
LINC01291,0.0025062656641604,0.000314169022934339
POLE4,0.121553884711779,0.215519949732956
TACR1,0.0119047619047619,0.00816839459629281
EVA1A,0.0018796992481203,0.00534087338988376
MRPL19,0.243734335839599,0.231856738925542
GCFC2,0.104636591478697,0.102733270499529
AC005034.3,0.0206766917293233,0.0131950989632422
AC005034.4,0.0081453634085213,0.00628338045868677
LRRTM4,0.0137844611528822,0.0056550424128181
AC084149.1,0.0043859649122807,0.000628338045868677
AC012494.1,0.0037593984962406,0.000942507068803016
REG1A,0.0037593984962406,0.00157084511467169
CTNNA2,0.0808270676691729,0.00628338045868677
SUCLG1,0.595238095238095,0.514608859566447
DNAH6,0.0231829573934837,0.039899465912661
TRABD2A,0.0050125313283208,0.000942507068803016
TMSB10,35.3978696741855,41.6399622997172
KCMF1,0.208646616541353,0.175306314797361
TCF7L1,0.0018796992481203,0.00596921143575243
TGOLN2,0.414786967418546,0.430725730442978
RETSAT,0.0238095238095238,0.0292177191328935
ELMOD3,0.0426065162907268,0.0571787621740496
CAPG,0.0006265664160401,0.00722588752748979
SH2D6,0.012531328320802,0.0040841972981464
MAT2A,0.477443609022556,0.437009110901665
GGCX,0.150375939849624,0.076971410618913
VAMP8,0.0206766917293233,0.562048382029532
VAMP5,0.0006265664160401,0.020420986490732
RNF181,0.679824561403509,0.704681118441722
TMEM150A,0.0131578947368421,0.0188501413760603
USP39,0.241228070175439,0.223374175306315
C2orf68,0.151002506265664,0.121897580898523
SFTPB,0.0444862155388471,0.255419415645617
ATOH8,0,0.00251335218347471
ST3GAL5,0.0281954887218045,0.0361294376374489
POLR1A,0.0889724310776942,0.0383286207979893
PTCD3,0.198621553884712,0.165252906063462
IMMT,0.253759398496241,0.25636192271442
AC009309.1,0.0676691729323308,0.0323594093622369
MRPL35,0.110275689223058,0.153000314169023
REEP1,0.050125313283208,0.0656613257932768
KDM3A,0.255639097744361,0.149230285893811
