,met1,met2
CHAC2,0.00549450549450549,0.00709219858156028
ERLEC1,0.120879120879121,0.0732860520094563
PSME4,0.0494505494505495,0.0378250591016548
ACYP2,0.0549450549450549,0.0638297872340425
SPTBN1,0.307692307692308,0.144208037825059
RTN4,0.340659340659341,0.304964539007092
RPS27A,7.13736263736264,9.13947990543735
MTIF2,0.010989010989011,0.016548463356974
CCDC88A,0.0549450549450549,0.0638297872340425
CFAP36,0.10989010989011,0.0780141843971631
PPP4R3B,0.0989010989010989,0.099290780141844
AC015982.1,0.0164835164835165,0.00709219858156028
PNPT1,0,0.0189125295508274
EFEMP1,0.010989010989011,0.00236406619385343
VRK2,0.0274725274725275,0.0141843971631206
FANCL,0.032967032967033,0.0354609929078014
BCL11A,0.0274725274725275,0.00709219858156028
PAPOLG,0.0659340659340659,0.0307328605200946
REL,0.21978021978022,0.139479905437352
PUS10,0.010989010989011,0.00945626477541371
PEX13,0.0384615384615385,0.0283687943262411
KIAA1841,0.0164835164835165,0.00236406619385343
C2orf74,0.0164835164835165,0.0212765957446809
USP34,0.0714285714285714,0.0638297872340425
AC016727.1,0,0.0141843971631206
XPO1,0.104395604395604,0.106382978723404
FAM161A,0,0.00709219858156028
CCT4,0.549450549450549,0.382978723404255
COMMD1,0.0549450549450549,0.0969267139479905
B3GNT2,0.126373626373626,0.0543735224586288
TMEM17,0,0
EHBP1,0.0164835164835165,0.0236406619385343
WDPCP,0.00549450549450549,0.00236406619385343
MDH1,0.115384615384615,0.212765957446809
UGP2,0.148351648351648,0.210401891252955
VPS54,0.032967032967033,0.00945626477541371
PELI1,0.203296703296703,0.0803782505910166
AC012368.1,0.00549450549450549,0.0118203309692671
LGALSL,0.021978021978022,0.00945626477541371
AFTPH,0.0879120879120879,0.033096926713948
SERTAD2,0.0824175824175824,0.0401891252955083
SLC1A4,0.0274725274725275,0.016548463356974
CEP68,0.021978021978022,0.0189125295508274
RAB1A,0.153846153846154,0.132387706855792
ACTR2,0.269230769230769,0.205673758865248
SPRED2,0.0164835164835165,0.00945626477541371
ETAA1,0.032967032967033,0.0118203309692671
C1D,0.0879120879120879,0.0851063829787234
PNO1,0.0384615384615385,0.0141843971631206
PPP3R1,0.032967032967033,0.0567375886524823
CNRIP1,0.0824175824175824,0.0283687943262411
PLEK,0.0604395604395604,0.0780141843971631
FBXO48,0,0.00709219858156028
ARHGAP25,0.0274725274725275,0.049645390070922
ANTXR1,0,0.00472813238770686
GFPT1,0.0274725274725275,0.0260047281323877
NFU1,0.0604395604395604,0.0921985815602837
AAK1,0.120879120879121,0.0472813238770686
ANXA4,0.0659340659340659,0.319148936170213
GMCL1,0.0549450549450549,0.0212765957446809
SNRNP27,0.0659340659340659,0.049645390070922
MXD1,0.159340659340659,0.111111111111111
PCBP1,0.681318681318681,0.839243498817967
C2orf42,0,0.00709219858156028
TIA1,0.0604395604395604,0.0803782505910166
PCYOX1,0.0659340659340659,0.033096926713948
SNRPG,0.351648351648352,0.224586288416076
FAM136A,0.0659340659340659,0.0921985815602837
TGFA,0,0.00945626477541371
TEX261,0.0164835164835165,0.0141843971631206
NAGK,0.0714285714285714,0.0567375886524823
MCEE,0.0494505494505494,0.00945626477541371
MPHOSPH10,0.0384615384615385,0.0260047281323877
PAIP2B,0.00549450549450549,0.00472813238770686
ZNF638,0.137362637362637,0.0614657210401891
DYSF,0.0714285714285714,0.0141843971631206
EXOC6B,0.0164835164835165,0.0118203309692671
SPR,0.032967032967033,0.049645390070922
SFXN5,0.010989010989011,0.0118203309692671
RAB11FIP5,0.021978021978022,0.00236406619385343
PRADC1,0.021978021978022,0.016548463356974
CCT7,0.186813186813187,0.179669030732861
EGR4,0.00549450549450549,0.00236406619385343
ALMS1,0.010989010989011,0
TPRKB,0.0769230769230769,0.0685579196217494
DUSP11,0.0714285714285714,0.066193853427896
STAMBP,0.0604395604395604,0.0236406619385343
DGUOK,0.137362637362637,0.15839243498818
TET3,0.0164835164835165,0.0141843971631206
BOLA3,0.104395604395604,0.104018912529551
BOLA3-AS1,0.00549450549450549,0.00472813238770686
MOB1A,0.153846153846154,0.210401891252955
MTHFD2,0.142857142857143,0.0898345153664303
DCTN1,0.0989010989010989,0.0425531914893617
WDR54,0.0714285714285714,0.0378250591016548
RTKN,0,0.00709219858156028
WBP1,0.0659340659340659,0.0520094562647754
MOGS,0.0164835164835165,0.0307328605200946
MRPL53,0.010989010989011,0.00709219858156028
CCDC142,0,0.00472813238770686
TTC31,0.0494505494505494,0.016548463356974
LBX2,0,0.00709219858156028
LBX2-AS1,0,0.00709219858156028
PCGF1,0.0384615384615385,0.0401891252955083
AUP1,0.159340659340659,0.224586288416076
HTRA2,0.0604395604395604,0.0520094562647754
LOXL3,0.021978021978022,0.00709219858156028
DOK1,0.010989010989011,0.033096926713948
SEMA4F,0.00549450549450549,0.00236406619385343
HK2,0.0659340659340659,0.0709219858156028
POLE4,0.10989010989011,0.108747044917258
TACR1,0.010989010989011,0
EVA1A,0.00549450549450549,0.00945626477541371
MRPL19,0.0549450549450549,0.0449172576832151
GCFC2,0.0274725274725275,0.00472813238770686
SUCLG1,0.0934065934065934,0.104018912529551
TRABD2A,0.0164835164835165,0.0141843971631206
TMSB10,9.42307692307692,10.063829787234
KCMF1,0.0384615384615385,0.0260047281323877
TCF7L1,0.0384615384615385,0.00709219858156028
TGOLN2,0.148351648351648,0.137115839243499
RETSAT,0.00549450549450549,0.00709219858156028
ELMOD3,0.0164835164835165,0.00945626477541371
CAPG,0.274725274725275,0.354609929078014
MAT2A,0.186813186813187,0.0945626477541371
GGCX,0.0494505494505494,0.0260047281323877
VAMP8,0.340659340659341,0.633569739952719
VAMP5,0.406593406593407,0.174940898345154
RNF181,0.192307692307692,0.276595744680851
TMEM150A,0.021978021978022,0.00472813238770686
USP39,0.0604395604395604,0.0401891252955083
C2orf68,0.032967032967033,0.0236406619385343
SFTPB,0,0
GNLY,0.401098901098901,1.49881796690307
ATOH8,0.0384615384615385,0.0236406619385343
ST3GAL5,0.0164835164835165,0.0189125295508274
POLR1A,0.0164835164835165,0.00945626477541371
PTCD3,0.021978021978022,0.033096926713948
IMMT,0.043956043956044,0.0425531914893617
AC009309.1,0.00549450549450549,0.00945626477541371
MRPL35,0.0274725274725275,0.0638297872340425
KDM3A,0.0549450549450549,0.033096926713948
CHMP3,0.0989010989010989,0.0378250591016548
RNF103,0.021978021978022,0.033096926713948
RMND5A,0.0549450549450549,0.0378250591016548
CD8A,0.153846153846154,0.148936170212766
CD8B,0.153846153846154,0.208037825059102
PLGLB1,0,0.016548463356974
LINC01943,0.0549450549450549,0.049645390070922
CYTOR,0.241758241758242,0.226950354609929
AC133644.2,0.0164835164835165,0.00945626477541371
PLGLB2,0,0.0472813238770686
KRCC1,0.0494505494505494,0.0638297872340425
THNSL2,0,0.0141843971631206
EIF2AK3,0.0549450549450549,0.0260047281323877
RPIA,0.0714285714285714,0.0472813238770686
IGKC,0.0384615384615385,0.0189125295508274
MAL,0.021978021978022,0.0425531914893617
MRPS5,0.115384615384615,0.099290780141844
ZNF514,0.00549450549450549,0.00236406619385343
FAHD2A,0.00549450549450549,0.00945626477541371
AC009237.14,0,0.00236406619385343
ANKRD36C,0.0714285714285714,0.0354609929078014
DUSP2,1.23076923076923,0.84160756501182
STARD7,0.10989010989011,0.0638297872340425
TMEM127,0.0494505494505494,0.0378250591016548
CIAO1,0.0384615384615385,0.0567375886524823
SNRNP200,0.131868131868132,0.0520094562647754
ITPRIPL1,0.010989010989011,0.00945626477541371
NCAPH,0.0604395604395604,0.0401891252955083
NEURL3,0,0.0212765957446809
ARID5A,0.120879120879121,0.0780141843971631
KANSL3,0.0164835164835165,0.0189125295508274
LMAN2L,0.0164835164835165,0.00945626477541371
CNNM4,0.00549450549450549,0.00472813238770686
CNNM3,0.00549450549450549,0.00236406619385343
ANKRD39,0.0384615384615385,0.016548463356974
SEMA4C,0.0384615384615385,0.0189125295508274
FAM178B,0,0.00236406619385343
FAHD2B,0.021978021978022,0.0118203309692671
ANKRD36,0.0549450549450549,0.0472813238770686
ANKRD36B,0.032967032967033,0.0378250591016548
COX5B,0.637362637362637,0.706855791962175
ACTR1B,0.0384615384615385,0.0401891252955083
ZAP70,0.043956043956044,0.0969267139479905
TMEM131,0.0164835164835165,0.00945626477541371
INPP4A,0.0604395604395604,0.0236406619385343
COA5,0.0879120879120879,0.0685579196217494
UNC50,0.0384615384615385,0.0283687943262411
MGAT4A,0.142857142857143,0.0756501182033097
AC109826.1,0.00549450549450549,0.00945626477541371
KIAA1211L,0.0164835164835165,0.00709219858156028
TSGA10,0.00549450549450549,0.00709219858156028
LIPT1,0.0164835164835165,0.0236406619385343
MITD1,0.0824175824175824,0.0543735224586288
MRPL30,0.010989010989011,0.0118203309692671
TXNDC9,0.0989010989010989,0.0591016548463357
EIF5B,0.192307692307692,0.0732860520094563
REV1,0.032967032967033,0.0260047281323877
AFF3,0.010989010989011,0.00472813238770686
LONRF2,0,0.00472813238770686
CHST10,0.00549450549450549,0.00709219858156028
PDCL3,0.0604395604395604,0.120567375886525
NPAS2,0.00549450549450549,0.00472813238770686
RPL31,1.06043956043956,1.00472813238771
TBC1D8,0.043956043956044,0.0472813238770686
CNOT11,0.0164835164835165,0.016548463356974
RNF149,0.10989010989011,0.198581560283688
MAP4K4,0.0714285714285714,0.0354609929078014
IL1R2,0.0769230769230769,0.0851063829787234
IL1R1,0.0934065934065934,0.016548463356974
IL18R1,0.0164835164835165,0.0520094562647754
IL18RAP,0.00549450549450549,0.0118203309692671
MFSD9,0.0164835164835165,0.00709219858156028
MRPS9,0.0494505494505494,0.0307328605200946
TGFBRAP1,0.021978021978022,0.0141843971631206
AC012360.3,0,0.00945626477541371
C2orf49,0.0164835164835165,0.0283687943262411
FHL2,0.00549450549450549,0.0260047281323877
NCK2,0.0384615384615385,0.0378250591016548
C2orf40,0,0
UXS1,0.043956043956044,0.0354609929078014
SULT1C2,0,0.00236406619385343
SULT1C4,0.0164835164835165,0.00709219858156028
GCC2,0.120879120879121,0.193853427895981
GCC2-AS1,0.021978021978022,0.0189125295508274
LIMS1,0.192307692307692,0.144208037825059
RANBP2,0.104395604395604,0.0543735224586288
CCDC138,0.00549450549450549,0.00236406619385343
SEPT10,0.0824175824175824,0.0472813238770686
SOWAHC,0,0.0307328605200946
MALL,0.0934065934065934,0.00472813238770686
NPHP1,0.0164835164835165,0.00236406619385343
SMIM37,0.159340659340659,0.0898345153664303
BUB1,0.010989010989011,0
MIR4435-2HG,0.126373626373626,0.066193853427896
BCL2L11,0.043956043956044,0.0567375886524823
AC017002.1,0.010989010989011,0.0118203309692671
ANAPC1,0.0164835164835165,0.0378250591016548
MERTK,0.0384615384615385,0.0307328605200946
TMEM87B,0.0604395604395604,0.0378250591016548
FBLN7,0.010989010989011,0.0189125295508274
ZC3H8,0.032967032967033,0.016548463356974
ZC3H6,0.043956043956044,0.0354609929078014
TTL,0.0164835164835165,0.00472813238770686
POLR1B,0.00549450549450549,0.00472813238770686
CHCHD5,0.0769230769230769,0.0780141843971631
AC079922.2,0.0164835164835165,0.0189125295508274
SLC20A1,0.274725274725275,0.139479905437352
CKAP2L,0.00549450549450549,0.00236406619385343
IL1B,0.252747252747253,0.163120567375887
IL1RN,0.00549450549450549,0.113475177304965
PSD4,0.00549450549450549,0.00945626477541371
CBWD2,0.043956043956044,0.0260047281323877
SLC35F5,0.0384615384615385,0.0307328605200946
ACTR3,0.247252747252747,0.252955082742317
DDX18,0.230769230769231,0.101654846335697
CCDC93,0.0274725274725275,0.0425531914893617
INSIG2,0.0549450549450549,0.0520094562647754
MARCO,0.010989010989011,0.0236406619385343
STEAP3,0.00549450549450549,0.0141843971631206
C2orf76,0.0384615384615385,0.0260047281323877
DBI,0.576923076923077,0.432624113475177
TMEM37,0.0164835164835165,0.0638297872340425
SCTR,0,0.0118203309692671
AC013275.1,0,0.00236406619385343
CFAP221,0,0
TMEM177,0.00549450549450549,0.00709219858156028
PTPN4,0.0164835164835165,0.0780141843971631
EPB41L5,0.00549450549450549,0.0141843971631206
TMEM185B,0.010989010989011,0.00945626477541371
RALB,0.17032967032967,0.0921985815602837
INHBB,0.197802197802198,0.127659574468085
TFCP2L1,0.00549450549450549,0.00709219858156028
CLASP1,0.032967032967033,0.0354609929078014
NIFK-AS1,0.00549450549450549,0.0118203309692671
NIFK,0.104395604395604,0.0969267139479905
TSN,0.0769230769230769,0.0472813238770686
GYPC,0.368131868131868,0.390070921985816
BIN1,0.0879120879120879,0.0709219858156028
ERCC3,0.0384615384615385,0.0141843971631206
MAP3K2,0.0934065934065934,0.0543735224586288
PROC,0,0.0141843971631206
IWS1,0.043956043956044,0.0425531914893617
MYO7B,0,0.00472813238770686
LIMS2,0.17032967032967,0.0118203309692671
WDR33,0.104395604395604,0.127659574468085
SFT2D3,0.0274725274725275,0.00472813238770686
POLR2D,0.0384615384615385,0.0449172576832151
AMMECR1L,0.010989010989011,0.0118203309692671
AC012306.2,0.0274725274725275,0.0118203309692671
SAP130,0.021978021978022,0.00945626477541371
UGGT1,0.0384615384615385,0.0283687943262411
HS6ST1,0.0274725274725275,0.00945626477541371
CCDC74B,0,0
SMPD4,0.0274725274725275,0.0189125295508274
MZT2B,0.241758241758242,0.191489361702128
CCDC115,0.0549450549450549,0.0425531914893617
IMP4,0.0659340659340659,0.0685579196217494
PTPN18,0.0769230769230769,0.0638297872340425
FAM168B,0.0384615384615385,0.00945626477541371
PLEKHB2,0.126373626373626,0.108747044917258
MZT2A,0.137362637362637,0.132387706855792
CCDC74A,0,0.00236406619385343
C2orf27B,0,0.00945626477541371
GPR39,0,0.00236406619385343
LYPD1,0,0.00236406619385343
NCKAP5,0,0.00236406619385343
MGAT5,0.00549450549450549,0.0449172576832151
TMEM163,0.00549450549450549,0.00472813238770686
CCNT2-AS1,0.00549450549450549,0.00472813238770686
ACMSD,0,0.0283687943262411
CCNT2,0.0494505494505494,0.0591016548463357
RAB3GAP1,0.0494505494505494,0.0472813238770686
ZRANB3,0,0.00709219858156028
R3HDM1,0.032967032967033,0.0189125295508274
UBXN4,0.274725274725275,0.243498817966903
MCM6,0.032967032967033,0.0141843971631206
DARS,0.230769230769231,0.198581560283688
CXCR4,0.824175824175824,1.01182033096927
HNMT,0.0824175824175824,0.146572104018913
SPOPL,0.0494505494505494,0.0189125295508274
KYNU,0.032967032967033,0.0732860520094563
ARHGAP15,0.0769230769230769,0.137115839243499
GTDC1,0.0494505494505494,0.00945626477541371
ZEB2,0.0824175824175824,0.0756501182033097
ACVR2A,0.00549450549450549,0
ORC4,0.0549450549450549,0.0425531914893617
MBD5,0.0494505494505494,0.0189125295508274
EPC2,0.0494505494505494,0.00945626477541371
KIF5C,0.010989010989011,0.00945626477541371
LYPD6B,0,0.00709219858156028
MMADHC,0.131868131868132,0.163120567375887
AC007364.1,0.00549450549450549,0
RND3,0.0384615384615385,0.0780141843971631
RBM43,0.021978021978022,0.0212765957446809
NMI,0.0934065934065934,0.0567375886524823
TNFAIP6,0.021978021978022,0.033096926713948
RIF1,0.0824175824175824,0.0378250591016548
ARL5A,0.0604395604395604,0.0756501182033097
STAM2,0.043956043956044,0.0212765957446809
FMNL2,0.032967032967033,0.0283687943262411
PRPF40A,0.175824175824176,0.16548463356974
ARL6IP6,0.0659340659340659,0.104018912529551
RPRM,0.00549450549450549,0.00945626477541371
NR4A2,0.324175824175824,0.151300236406619
GPD2,0.0164835164835165,0.0260047281323877
CYTIP,0.32967032967033,0.399527186761229
ACVR1,0.00549450549450549,0.0189125295508274
CCDC148,0,0.00236406619385343
PKP4,0.0769230769230769,0.0189125295508274
DAPL1,0.00549450549450549,0.00236406619385343
TANC1,0.043956043956044,0.016548463356974
WDSUB1,0.0604395604395604,0.0212765957446809
BAZ2B,0.0659340659340659,0.0543735224586288
AC009506.1,0.0164835164835165,0.00472813238770686
AC009961.1,0.010989010989011,0
MARCH7,0.0494505494505494,0.0756501182033097
CD302,0.010989010989011,0.0354609929078014
LY75,0.0164835164835165,0.016548463356974
ITGB6,0,0.00236406619385343
RBMS1,0.10989010989011,0.108747044917258
TANK,0.0879120879120879,0.115839243498818
LINC01806,0.00549450549450549,0.00945626477541371
PSMD14,0.043956043956044,0.0685579196217494
SLC4A10,0,0.016548463356974
DPP4,0.00549450549450549,0.016548463356974
IFIH1,0.0274725274725275,0.0260047281323877
GCA,0.0604395604395604,0.106382978723404
GRB14,0,0.00945626477541371
COBLL1,0.010989010989011,0
SCN3A,0.0164835164835165,0.0212765957446809
SCN2A,0.00549450549450549,0.00709219858156028
CSRNP3,0.00549450549450549,0.00236406619385343
GALNT3,0.00549450549450549,0.00945626477541371
TTC21B,0.0274725274725275,0.0189125295508274
SCN9A,0,0.00709219858156028
STK39,0,0.0118203309692671
CERS6,0.010989010989011,0.0283687943262411
NOSTRIN,0.0274725274725275,0.016548463356974
DHRS9,0.00549450549450549,0.00945626477541371
FASTKD1,0.0164835164835165,0.016548463356974
PPIG,0.225274725274725,0.234042553191489
PHOSPHO2,0,0.00236406619385343
KLHL23,0.0164835164835165,0.00709219858156028
SSB,0.175824175824176,0.252955082742317
METTL5,0.120879120879121,0.120567375886525
UBR3,0.0384615384615385,0.0283687943262411
AC007405.3,0,0.00945626477541371
GORASP2,0.0549450549450549,0.0449172576832151
TLK1,0.0824175824175824,0.049645390070922
METTL8,0.021978021978022,0.0236406619385343
