,met1,met2
ZDHHC17,0.125252525252525,0.114473020675744
CSRP2,0.514141414141414,0.358547655068079
E2F7,0.0196969696969697,0.0221886031265759
NAV3,0.0282828282828283,0.0113464447806354
SYT1,0.635353535353535,1.00630358043369
PAWR,0.16010101010101,0.133131618759455
PPP1R12A,0.441414141414141,0.332576903681291
OTOGL,0.0515151515151515,0
LIN7A,0.0525252525252525,0.0184064548663641
ACSS3,0.0676767676767677,0.00806858295511851
PPFIA2,0.00555555555555556,0.000504286434694907
CCDC59,0.422222222222222,0.312153303076147
METTL25,0.0484848484848485,0.0466464952092789
TMTC2,0.0232323232323232,0.00731215330307615
LRRIQ1,0.0303030303030303,0.0219364599092284
AC131532.1,0.0444444444444444,0.0383257690368129
NTS,0.346969696969697,0.00882501260716087
MGAT4C,0.0898989898989899,0.0410993444276349
C12orf29,0.145454545454545,0.110186585980837
CEP290,0.16010101010101,0.107413010590015
TMTC3,0.0580808080808081,0.0443772062531518
KITLG,0.0202020202020202,0.0224407463439233
DUSP6,0.171212121212121,0.14649520927887
AC010201.2,0.00353535353535354,0.00151285930408472
POC1B,0.0333333333333333,0.0385779122541604
POC1B-AS1,0.0116161616161616,0.0186585980837115
ATP2B1,0.207575757575758,0.330811901159859
ATP2B1-AS1,0.107575757575758,0.0731215330307615
LUM,0.276262626262626,0.825516893595562
DCN,0.605555555555556,1.05748865355522
BTG1,2.75151515151515,2.17221381744831
AC025164.1,0.127272727272727,0.0733736762481089
LINC02397,0.0111111111111111,0.00201714573877963
EEA1,0.151515151515152,0.128340897629854
NUDT4,0.316666666666667,0.282400403429148
UBE2N,0.552020202020202,0.51588502269289
MRPL42,0.405050505050505,0.454866364094806
SOCS2,0.143939393939394,0.1238023197176
CRADD,0.0833333333333333,0.0718608169440242
PLXNC1,0.0348484848484849,0.0358043368633384
CEP83,0.094949494949495,0.0602622289460414
CEP83-DT,0.00707070707070707,0.0075642965204236
TMCC3,0.0156565656565657,0.00731215330307615
NDUFA12,0.767676767676768,0.900151285930408
NR2C1,0.122222222222222,0.106152294503278
FGD6,0.0242424242424242,0.0151285930408472
VEZT,0.22020202020202,0.187342410489158
METAP2,0.67020202020202,0.421583459404942
