,1,2,3,5,6,7
ATAD3B,0.0349702380952381,0.0381471389645777,0.0554926387315968,0.0627705627705628,0.0703971119133574,0.0505747126436782
ATAD3A,0.021577380952381,0.0481380563124432,0.057757644394111,0.149350649350649,0.108303249097473,0.0114942528735632
TMEM240,0.00595238095238095,0.0254314259763851,0.014722536806342,0.0194805194805195,0.0216606498194946,0.00919540229885057
SSU72,0.636904761904762,1.01544050862852,0.791619479048698,0.742424242424242,0.925992779783393,0.636781609195402
AL645728.1,0.0037202380952381,0.00635785649409628,0.00226500566251416,0.0108225108225108,0.0144404332129964,0.00229885057471264
FNDC10,0.0401785714285714,0.0463215258855586,0.0486976217440544,0.0541125541125541,0.104693140794224,0.0229885057471264
AL691432.2,0.0944940476190476,0.145322434150772,0.159682899207248,0.138528138528139,0.263537906137184,0.0344827586206897
MIB2,0.0699404761904762,0.142597638510445,0.126840317100793,0.134199134199134,0.149819494584838,0.105747126436782
MMP23B,0.00446428571428571,0.0108991825613079,0.00226500566251416,0.00432900432900433,0.0036101083032491,0.0229885057471264
CDK11B,0.0855654761904762,0.0799273387829246,0.106455266138165,0.170995670995671,0.160649819494585,0.0620689655172414
FO704657.1,0.00148809523809524,0.00272479564032698,0,0,0.00180505415162455,0
SLC35E2B,0.117559523809524,0.121707538601272,0.18233295583239,0.20995670995671,0.200361010830325,0.222988505747126
CDK11A,0.0766369047619048,0.0563124432334242,0.0815402038505096,0.112554112554113,0.104693140794224,0.0620689655172414
SLC35E2A,0.03125,0.0263396911898274,0.0419026047565119,0.0541125541125541,0.0541516245487365,0.108045977011494
NADK,0.0944940476190476,0.148955495004541,0.10079275198188,0.136363636363636,0.160649819494585,0.0873563218390805
GNB1,0.780505952380952,0.828337874659401,0.77916194790487,0.96969696969697,0.915162454873646,0.87816091954023
AL109917.1,0.00297619047619048,0.00181653042688465,0.00113250283125708,0.00216450216450216,0,0.00459770114942529
TMEM52,0.0119047619047619,0.0154405086285195,0.0135900339750849,0.0151515151515152,0.0342960288808664,0.00229885057471264
CFAP74,0.00669642857142857,0.00544959128065395,0.00113250283125708,0.00216450216450216,0.0072202166064982,0
GABRD,0.00744047619047619,0.00908265213442325,0.00566251415628539,0.00216450216450216,0.00180505415162455,0
PRKCZ,0.0558035714285714,0.0744777475022707,0.0713476783691959,0.0952380952380952,0.110108303249097,0.00919540229885057
PRKCZ-AS1,0.00892857142857143,0.0072661217075386,0.00792751981879955,0.0108225108225108,0.0144404332129964,0.0183908045977012
FAAP20,0.54389880952381,0.645776566757493,0.405436013590034,0.586580086580087,0.548736462093863,0.245977011494253
SKI,0.0736607142857143,0.0971843778383288,0.0656851642129105,0.149350649350649,0.117328519855596,0.064367816091954
MORN1,0.0349702380952381,0.0263396911898274,0.0203850509626274,0.0324675324675325,0.0613718411552347,0.0275862068965517
RER1,0.22172619047619,0.287011807447775,0.181200453001132,0.331168831168831,0.277978339350181,0.114942528735632
PEX10,0.0900297619047619,0.0962761126248865,0.106455266138165,0.138528138528139,0.126353790613718,0.032183908045977
PLCH2,0.0260416666666667,0.0381471389645777,0.00226500566251416,0.0108225108225108,0.00180505415162455,0.00689655172413793
PANK4,0.0610119047619048,0.0681198910081744,0.0702151755379389,0.0800865800865801,0.0740072202166065,0.0252873563218391
HES5,0.000744047619047619,0.0145322434150772,0,0.00432900432900433,0.00902527075812274,0
AL139246.5,0.0438988095238095,0.0844686648501362,0.0781426953567384,0.103896103896104,0.232851985559567,0.0367816091954023
TNFRSF14-AS1,0.0751488095238095,0.0744777475022707,0.0181200453001133,0.0800865800865801,0.0234657039711191,0.0344827586206897
TNFRSF14,0.16889880952381,0.221616712079927,0.124575311438279,0.158008658008658,0.182310469314079,0.2
AL139246.3,0.0037202380952381,0.0072661217075386,0.0101925254813137,0.00432900432900433,0.0108303249097473,0.00459770114942529
FAM213B,0.0803571428571429,0.129881925522253,0.0826727066817667,0.116883116883117,0.131768953068592,0.0574712643678161
MMEL1,0.0654761904761905,0.0544959128065395,0.0226500566251416,0.012987012987013,0.0162454873646209,0.0229885057471264
TTC34,0.00223214285714286,0.00181653042688465,0.00226500566251416,0.00432900432900433,0.0072202166064982,0.00459770114942529
LINC00982,0.00148809523809524,0.00272479564032698,0,0.00216450216450216,0,0
PRDM16,0.0416666666666667,0.0681198910081744,0.0362400906002265,0.0454545454545455,0.0505415162454874,0.0919540229885057
AL590438.1,0.00446428571428571,0.00908265213442325,0.00226500566251416,0.0194805194805195,0.0072202166064982,0.00459770114942529
